Date, New, Incomplete, Confirmed, Triaged, In Progress, Fix Commited, Fix Released
26/11/14, 3, 3, 22, 3, 4, 0, 0
27/11/14, 3, 3, 22, 3, 4, 0, 0
28/11/14, 3, 3, 22, 3, 4, 0, 0
29/11/14, 3, 3, 22, 3, 4, 0, 0
30/11/14, 3, 3, 22, 3, 4, 0, 0
01/12/14, 3, 3, 22, 3, 4, 0, 0
02/12/14, 3, 3, 22, 3, 4, 0, 0
03/12/14, 3, 3, 22, 3, 4, 0, 0
04/12/14, 3, 3, 22, 3, 4, 0, 0
05/12/14, 3, 3, 22, 3, 4, 0, 0
06/12/14, 3, 3, 22, 3, 4, 0, 0
07/12/14, 3, 3, 22, 3, 4, 0, 0
08/12/14, 3, 3, 22, 3, 4, 1, 0
09/12/14, 3, 3, 22, 3, 5, 1, 0
10/12/14, 3, 3, 22, 3, 7, 1, 0
11/12/14, 4, 3, 22, 4, 8, 1, 0
12/12/14, 4, 3, 22, 4, 8, 1, 0
13/12/14, 4, 3, 22, 4, 8, 1, 0
14/12/14, 5, 3, 23, 4, 8, 1, 0
15/12/14, 5, 3, 25, 4, 7, 1, 0
16/12/14, 5, 2, 27, 4, 7, 2, 0
18/12/14, 6, 2, 27, 4, 7, 2, 0
19/12/14, 6, 2, 27, 4, 7, 2, 0
20/12/14, 6, 2, 27, 4, 7, 2, 0
21/12/14, 6, 2, 27, 4, 7, 2, 0
22/12/14, 6, 2, 27, 4, 7, 2, 0
23/12/14, 6, 2, 27, 4, 7, 2, 0
24/12/14, 6, 2, 27, 4, 7, 2, 0
25/12/14, 6, 2, 27, 4, 7, 2, 0
26/12/14, 7, 2, 27, 4, 7, 2, 0
27/12/14, 7, 2, 27, 4, 7, 2, 0
28/12/14, 7, 2, 27, 5, 7, 2, 0
29/12/14, 8, 2, 27, 5, 7, 2, 0
30/12/14, 8, 2, 27, 5, 7, 2, 0
31/12/14, 8, 2, 27, 5, 7, 2, 0
01/01/15, 9, 2, 26, 5, 8, 2, 0
02/01/15, 9, 2, 26, 5, 7, 2, 0
03/01/15, 9, 2, 26, 5, 8, 2, 0
04/01/15, 9, 2, 26, 5, 8, 2, 0
05/01/15, 9, 2, 27, 5, 8, 2, 0
06/01/15, 9, 2, 28, 5, 8, 2, 0
